word,counts,date
manufacturer,29,2020-03-01
notified,39,2020-03-01
serious,14,2020-03-01
adverse,133,2020-03-01
event,229,2020-03-01
involving,5,2020-03-01
patient,360,2020-03-01
perceval,21,2020-03-01
pvs25,2,2020-03-01
sutureless,6,2020-03-01
aortic,233,2020-03-01
heart,114,2020-03-01
valve,360,2020-03-01
information,293,2020-03-01
follows,6,2020-03-01
b6,85,2020-03-01
2019,24,2020-03-01
passed,41,2020-03-01
away,7,2020-03-01
result,45,2020-03-01
mesenteric,2,2020-03-01
ischemia,2,2020-03-01
secondary,10,2020-03-01
bioprosthesis,136,2020-03-01
iatrogenic,2,2020-03-01
root,167,2020-03-01
rupture,3,2020-03-01
received,269,2020-03-01
including,126,2020-03-01
date,39,2020-03-01
implant,269,2020-03-01
product,200,2020-03-01
analysis,129,2020-03-01
conclusion,143,2020-03-01
without,163,2020-03-01
return,130,2020-03-01
definitive,148,2020-03-01
made,139,2020-03-01
regarding,171,2020-03-01
clinical,126,2020-03-01
observation,107,2020-03-01
provided,210,2020-03-01
future,118,2020-03-01
issued,118,2020-03-01
medtronic,124,2020-03-01
8,31,2020-03-01
years,205,2020-03-01
9,37,2020-03-01
months,160,2020-03-01
post,135,2020-03-01
18mm,4,2020-03-01
pulmonary,37,2020-03-01
valved,16,2020-03-01
conduit,20,2020-03-01
b6yearold,7,2020-03-01
pediatric,12,2020-03-01
replaced,111,2020-03-01
valveinvalve,182,2020-03-01
transcatheter,149,2020-03-01
bioprosthetic,215,2020-03-01
deployed,7,2020-03-01
22mm,8,2020-03-01
reason,225,2020-03-01
replacement,161,2020-03-01
additional,198,2020-03-01
effects,118,2020-03-01
pvs21,2,2020-03-01
position,65,2020-03-01
2020,60,2020-03-01
procedure,183,2020-03-01
went,6,2020-03-01
well,25,2020-03-01
icu,14,2020-03-01
experienced,8,2020-03-01
circulatory,2,2020-03-01
problems,3,2020-03-01
migrated,2,2020-03-01
ascending,3,2020-03-01
aorta,6,2020-03-01
blocking,2,2020-03-01
coronaries,3,2020-03-01
arrested,2,2020-03-01
emergently,3,2020-03-01
taken,8,2020-03-01
operating,3,2020-03-01
room,7,2020-03-01
emergency,6,2020-03-01
incision,2,2020-03-01
open,10,2020-03-01
massage,2,2020-03-01
performed,199,2020-03-01
restored,4,2020-03-01
sinus,8,2020-03-01
rhythm,5,2020-03-01
removed,17,2020-03-01
crown,6,2020-03-01
19mm,24,2020-03-01
implanted,275,2020-03-01
uneventful,3,2020-03-01
postoperative,17,2020-03-01
course,6,2020-03-01
10,25,2020-03-01
3,51,2020-03-01
intervention,61,2020-03-01
severe,92,2020-03-01
stenosis,171,2020-03-01
edwards,182,2020-03-01
evaluation,169,2020-03-01
remains,173,2020-03-01
history,190,2020-03-01
record,186,2020-03-01
dhr,174,2020-03-01
unable,19,2020-03-01
reviewed,146,2020-03-01
serial,79,2020-03-01
unknown,165,2020-03-01
regurgitation,166,2020-03-01
valves,113,2020-03-01
also,124,2020-03-01
known,99,2020-03-01
insufficiency,45,2020-03-01
occurs,24,2020-03-01
close,10,2020-03-01
properly,7,2020-03-01
diastolic,8,2020-03-01
phase,5,2020-03-01
results,62,2020-03-01
retrograde,5,2020-03-01
flow,8,2020-03-01
blood,20,2020-03-01
left,26,2020-03-01
ventricle,14,2020-03-01
type,18,2020-03-01
cause,201,2020-03-01
varies,4,2020-03-01
depending,9,2020-03-01
upon,21,2020-03-01
multiple,136,2020-03-01
factors,137,2020-03-01
develops,65,2020-03-01
progressively,65,2020-03-01
time,162,2020-03-01
issues,133,2020-03-01
related,155,2020-03-01
structural,126,2020-03-01
deterioration,126,2020-03-01
however,137,2020-03-01
advances,3,2020-03-01
design,3,2020-03-01
material,7,2020-03-01
intention,3,2020-03-01
reducing,3,2020-03-01
leaks,13,2020-03-01
providing,3,2020-03-01
efficient,3,2020-03-01
hemodynamics,5,2020-03-01
longer,3,2020-03-01
tissue,99,2020-03-01
durability,9,2020-03-01
could,110,2020-03-01
determined,167,2020-03-01
likely,132,2020-03-01
progression,126,2020-03-01
underlying,128,2020-03-01
valvular,146,2020-03-01
disease,132,2020-03-01
pathology,125,2020-03-01
contributed,74,2020-03-01
lifesciences,60,2020-03-01
continue,176,2020-03-01
monitor,176,2020-03-01
events,185,2020-03-01
actions,36,2020-03-01
required,182,2020-03-01
27mm,49,2020-03-01
pulmonic,4,2020-03-01
duration,137,2020-03-01
underwent,121,2020-03-01
26mm,59,2020-03-01
outcome,13,2020-03-01
great,5,2020-03-01
1,54,2020-03-01
year,30,2020-03-01
explanted,110,2020-03-01
size,18,2020-03-01
model,43,2020-03-01
14,5,2020-03-01
4,28,2020-03-01
23mm,70,2020-03-01
deteriorate,45,2020-03-01
eventually,55,2020-03-01
fail,46,2020-03-01
contributing,103,2020-03-01
andor,134,2020-03-01
svd,129,2020-03-01
common,123,2020-03-01
explants,50,2020-03-01
encompasses,116,2020-03-01
modes,117,2020-03-01
calcification,94,2020-03-01
noncalcific,121,2020-03-01
degeneration,129,2020-03-01
dehiscence,122,2020-03-01
cusp,126,2020-03-01
thickening,125,2020-03-01
fibrosis,121,2020-03-01
combination,117,2020-03-01
occur,74,2020-03-01
singularly,116,2020-03-01
concomitantly,116,2020-03-01
alternatively,100,2020-03-01
nonstructural,102,2020-03-01
dysfunction,106,2020-03-01
nsvd,95,2020-03-01
play,103,2020-03-01
role,116,2020-03-01
development,106,2020-03-01
case,72,2020-03-01
minimal,46,2020-03-01
attempts,59,2020-03-01
obtain,15,2020-03-01
condition,105,2020-03-01
patients,104,2020-03-01
medical,82,2020-03-01
possible,50,2020-03-01
comorbidities,44,2020-03-01
cannot,116,2020-03-01
available,108,2020-03-01
impacted,114,2020-03-01
patient¿s,59,2020-03-01
subject,47,2020-03-01
review,144,2020-03-01
completed,38,2020-03-01
manufacturing,151,2020-03-01
sterilization,68,2020-03-01
inspections,35,2020-03-01
prior,109,2020-03-01
release,102,2020-03-01
distribution,99,2020-03-01
identified,96,2020-03-01
would,89,2020-03-01
trends,140,2020-03-01
monitored,145,2020-03-01
monthly,140,2020-03-01
basis,140,2020-03-01
action,141,2020-03-01
appropriate,140,2020-03-01
new,50,2020-03-01
becomes,41,2020-03-01
submitted,64,2020-03-01
maintains,24,2020-03-01
registry,36,2020-03-01
tracking,24,2020-03-01
mechanism,34,2020-03-01
serialized,24,2020-03-01
implantable,24,2020-03-01
devices,26,2020-03-01
annuloplasty,28,2020-03-01
rings,26,2020-03-01
rather,24,2020-03-01
true,24,2020-03-01
postmarket,24,2020-03-01
surveillance,24,2020-03-01
addition,29,2020-03-01
status,37,2020-03-01
via,74,2020-03-01
implantation,50,2020-03-01
data,33,2020-03-01
cards,24,2020-03-01
various,24,2020-03-01
sources,24,2020-03-01
eg,26,2020-03-01
surgeon,32,2020-03-01
hospital,42,2020-03-01
family,24,2020-03-01
members,24,2020-03-01
form,26,2020-03-01
conventional,25,2020-03-01
customer,28,2020-03-01
complaint,24,2020-03-01
25mm,72,2020-03-01
3000tfx,2,2020-03-01
pericardial,77,2020-03-01
tavr,24,2020-03-01
9750tfx,7,2020-03-01
noted,42,2020-03-01
recovery,10,2020-03-01
additionally,58,2020-03-01
potential,92,2020-03-01
explant,92,2020-03-01
reoperation,66,2020-03-01
calcific,66,2020-03-01
occurring,56,2020-03-01
contribute,102,2020-03-01
