word,counts,date
complaint,4,2020-02-01
currently,3,2020-02-01
underway,3,2020-02-01
yet,3,2020-02-01
completed,3,2020-02-01
followup,3,2020-02-01
reflect,3,2020-02-01
results,3,2020-02-01
internal,3,2020-02-01
document,3,2020-02-01
numbers,3,2020-02-01
b4,3,2020-02-01
b6,4,2020-02-01
2020,4,2020-02-01
organ,4,2020-02-01
recovery,4,2020-02-01
systems,4,2020-02-01
ors,4,2020-02-01
received,4,2020-02-01
customer,4,2020-02-01
lkt200,4,2020-02-01
leaked,4,2020-02-01
fluid,4,2020-02-01
transplant,3,2020-02-01
center,3,2020-02-01
decided,3,2020-02-01
offer,1,2020-02-01
kidney,3,2020-02-01
transplantation,1,2020-02-01
patient,1,2020-02-01
information,1,2020-02-01
apply,1,2020-02-01
contact,1,2020-02-01
capab4,1,2020-02-01
initiated,1,2020-02-01
address,1,2020-02-01
mode,1,2020-02-01
associated,1,2020-02-01
rework,1,2020-02-01
lot,1,2020-02-01
119944,1,2020-02-01
discard,2,2020-02-01
patient,1,2020-03-01
information,1,2020-03-01
apply,1,2020-03-01
contact,1,2020-03-01
outcomes,1,2020-03-01
attributed,1,2020-03-01
adverse,1,2020-03-01
event,1,2020-03-01
relevant,1,2020-03-01
tests,1,2020-03-01
laboratory,1,2020-03-01
data,1,2020-03-01
history,1,2020-03-01
suspect,1,2020-03-01
products,1,2020-03-01
serial,1,2020-03-01
implanted,1,2020-03-01
therefore,1,2020-03-01
implantexplant,1,2020-03-01
dates,1,2020-03-01
reprocessor,1,2020-03-01
user,1,2020-03-01
facility,1,2020-03-01
importer,1,2020-03-01
ind,1,2020-03-01
terms,1,2020-03-01
initial,1,2020-03-01
followup,1,2020-03-01
type,1,2020-03-01
organ,1,2020-03-01
recovery,1,2020-03-01
systems,1,2020-03-01
ors,1,2020-03-01
received,1,2020-03-01
customer,1,2020-03-01
complaint,1,2020-03-01
lkt200,1,2020-03-01
leaked,1,2020-03-01
fluid,1,2020-03-01
patient,2,2020-04-01
information,2,2020-04-01
apply,2,2020-04-01
