word,counts,date
resmed,216,2020-02-01
evaluation,604,2020-02-01
confirmed,339,2020-02-01
complaint,235,2020-02-01
internal,193,2020-02-01
battery,155,2020-02-01
replaced,556,2020-02-01
address,416,2020-02-01
issue,571,2020-02-01
serviced,140,2020-02-01
fully,120,2020-02-01
tested,183,2020-02-01
customer,609,2020-02-01
b4,401,2020-02-01
astral,214,2020-02-01
charge,38,2020-02-01
patient,999,2020-02-01
use,374,2020-02-01
event,496,2020-02-01
occurred,99,2020-02-01
malfunction,160,2020-02-01
observed,75,2020-02-01
review,23,2020-02-01
activity,3,2020-02-01
logs,36,2020-02-01
however,88,2020-02-01
put,15,2020-02-01
extensive,12,2020-02-01
testing,161,2020-02-01
including,9,2020-02-01
full,10,2020-02-01
functionality,8,2020-02-01
without,36,2020-02-01
duplicating,10,2020-02-01
smart,7,2020-02-01
pneumatic,53,2020-02-01
module,125,2020-02-01
board,257,2020-02-01
precaution,10,2020-02-01
recertified,20,2020-02-01
trend,20,2020-02-01
associated,91,2020-02-01
type,22,2020-02-01
zoll,32,2020-02-01
medical,74,2020-02-01
corporation,32,2020-02-01
received,279,2020-02-01
product,50,2020-02-01
providing,16,2020-02-01
completed,25,2020-02-01
complainant,34,2020-02-01
alleged,65,2020-02-01
attempting,9,2020-02-01
treat,6,2020-02-01
b6,326,2020-02-01
male,2,2020-02-01
displayed,91,2020-02-01
runtime,9,2020-02-01
1051,9,2020-02-01
error,232,2020-02-01
message,64,2020-02-01
indicated,24,2020-02-01
clinician,9,2020-02-01
obtained,5,2020-02-01
another,38,2020-02-01
continue,6,2020-02-01
treating,5,2020-02-01
adverse,8,2020-02-01
effect,11,2020-02-01
reference,48,2020-02-01
harm,499,2020-02-01
serious,183,2020-02-01
injury,316,2020-02-01
result,193,2020-02-01
incident,191,2020-02-01
summary,13,2020-02-01
service,468,2020-02-01
engineer,89,2020-02-01
se,16,2020-02-01
evaluated,78,2020-02-01
isolated,13,2020-02-01
batteries,1,2020-02-01
ventilator,547,2020-02-01
center,249,2020-02-01
analysis,83,2020-02-01
upon,14,2020-02-01
completion,5,2020-02-01
medwatch,8,2020-02-01
findings,9,2020-02-01
submitted,46,2020-02-01
information,289,2020-02-01
provided,95,2020-02-01
future,19,2020-02-01
issued,50,2020-02-01
premature,1,2020-02-01
neonate,1,2020-02-01
weeks,4,2020-02-01
980,6,2020-02-01
continuous,4,2020-02-01
positive,5,2020-02-01
airway,10,2020-02-01
pressure,71,2020-02-01
cpap,5,2020-02-01
mode,35,2020-02-01
smoke,9,2020-02-01
coming,10,2020-02-01
removed,29,2020-02-01
placed,26,2020-02-01
alternate,26,2020-02-01
identified,25,2020-02-01
showed,15,2020-02-01
signs,5,2020-02-01
insect,2,2020-02-01
infestation,2,2020-02-01
repaired,4,2020-02-01
sf,4,2020-02-01
101,2,2020-02-01
related,76,2020-02-01
measurement,11,2020-02-01
ge,3,2020-02-01
healthcare,4,2020-02-01
representative,17,2020-02-01
casters,1,2020-02-01
resolve,60,2020-02-01
left,3,2020-02-01
voice,1,2020-02-01
contact,5,2020-02-01
requesting,4,2020-02-01
2020,315,2020-02-01
date,318,2020-02-01
hospital,12,2020-02-01
tilted,1,2020-02-01
toward,1,2020-02-01
fell,4,2020-02-01
employee,1,2020-02-01
moving,3,2020-02-01
unit,200,2020-02-01
caster,1,2020-02-01
broke,4,2020-02-01
base,2,2020-02-01
seen,6,2020-02-01
physician,6,2020-02-01
injured,6,2020-02-01
17feb2020,13,2020-02-01
low,51,2020-02-01
air,20,2020-02-01
flow,62,2020-02-01
appears,4,2020-02-01
working,36,2020-02-01
hard,3,2020-02-01
deliver,3,2020-02-01
involvement,309,2020-02-01
manufacturerÂ¿s,42,2020-02-01
technical,61,2020-02-01
services,6,2020-02-01
ts,6,2020-02-01
part,54,2020-02-01
blower,62,2020-02-01
defective,37,2020-02-01
problem,108,2020-02-01
successfully,24,2020-02-01
passed,65,2020-02-01
required,107,2020-02-01
performance,34,2020-02-01
verification,30,2020-02-01
test,109,2020-02-01
treatment,19,2020-02-01
delivered,1,2020-02-01
o2,45,2020-02-01
concentration,15,2020-02-01
incorrect,2,2020-02-01
main,62,2020-02-01
circuit,106,2020-02-01
based,19,2020-02-01
available,64,2020-02-01
evidence,26,2020-02-01
investigations,15,2020-02-01
similar,23,2020-02-01
nature,15,2020-02-01
determined,68,2020-02-01
component,21,2020-02-01
within,24,2020-02-01
resmeds,55,2020-02-01
risk,70,2020-02-01
concludes,57,2020-02-01
acceptable,58,2020-02-01
power,123,2020-02-01
source,15,2020-02-01
detection,12,2020-02-01
27feb2020,19,2020-02-01
would,44,2020-02-01
turn,11,2020-02-01
troubleshot,20,2020-02-01
tech,8,2020-02-01
support,67,2020-02-01
phone,7,2020-02-01
clinical,70,2020-02-01
time,278,2020-02-01
discovered,70,2020-02-01
